Accession	Female_Parent	Male_Parent	Cross_Type
IITA-TMS-IBA030059			
IITA-TMS-IBA030060			
IITA-TMS-IBA030060A			
IITA-TMS-IBA030061			
IITA-TMS-IBA030075			
IITA-TMS-IBA030141			
IITA-TMS-IBA030177			
IITA-TMS-IBA030213			
IITA-TMS-IBA030242			
IITA-TMS-IBA030254			
IITA-TMS-IBA030256			
IITA-TMS-IBA030264			
IITA-TMS-IBA030265			
IITA-TMS-IBA030273			
IITA-TMS-IBA030275			
IITA-TMS-IBA030276			
IITA-TMS-IBA030279			
IITA-TMS-IBA030284			
IITA-TMS-IBA030292			
IITA-TMS-IBA030305			
IITA-TMS-IBA030555			
IITA-TMS-IBA050099	IITA-TMS-IBA950379	SM2688-1	biparental
IITA-TMS-IBA050100	IITA-TMS-IBA950379	SM2688-1	biparental
IITA-TMS-IBA050127	TMEB1295	IITA-TMS-IBA011442	biparental
IITA-TMS-IBA050128	71693	TMEB1	biparental
IITA-TMS-IBA050186	IITA-TMS-IBA930098	IITA-TMS-IBA940561	biparental
IITA-TMS-IBA050231	IITA-TMS-IBA940561	IITA-TMS-IBA8800158	biparental
IITA-TMS-IBA050286	IITA-TMS-IBA950379	IITA-TMS-IBA30572	biparental
IITA-TMS-IBA050303	IITA-TMS-IBA950379	IITA-TMS-IBA8600006	biparental
IITA-TMS-IBA050327	IITA-TMS-IBA961089A	IITA-TMS-IBA30001	biparental
IITA-TMS-IBA051274	IITA-TMS-IBA974763	IITA-TMS-IBA031299	biparental
IITA-TMS-IBA051553	IITA-TMS-IBA9061089A		open
IITA-TMS-IBA051599	IITA-TMS-IBA011423		open
IITA-TMS-IBA051601	IITA-TMS-IBA011551		open
IITA-TMS-IBA051625	IITA-TMS-IBA950379		open
IITA-TMS-IBA051626	IITA-TMS-IBA950379		open
IITA-TMS-IBA051632	IITA-TMS-IBA011224		open
IITA-TMS-IBA051652	IITA-TMS-IBA011412		open
IITA-TMS-IBA051653	IITA-TMS-IBA011412		open
IITA-TMS-IBA051654	IITA-TMS-IBA011412		open
IITA-TMS-IBA051658	IITA-TMS-IBA011412		open
IITA-TMS-IBA051740	IITA-TMS-IBA950967		open
IITA-TMS-IBA051814	IITA-TMS-IBA940561	TMEB419	biparental
IITA-TMS-IBA060889	IITA-TMS-IBA011371	IITA-TMS-IBA011371	self
IITA-TMS-IBA061101	IITA-TMS-IBA011649	IITA-TMS-IBA011649	self
IITA-TMS-IBA061155	IITA-TMS-IBA011371	IITA-TMS-IBA011371	self
IITA-TMS-IBA061348	IITA-TMS-IBA9001554	IITA-TMS-IBA011659	biparental
IITA-TMS-IBA061365	IITA-TMS-WAR940009	IITA-TMS-IBA011412	biparental
IITA-TMS-IBA061404	IITA-TMS-IBA940330	IITA-TMS-IBA011371	biparental
IITA-TMS-IBA061577	IITA-TMS-IBA011273	IITA-TMS-IBA961089A	biparental
IITA-TMS-IBA061635	IITA-TMS-IBA011277	IITA-TMS-IBA011371	biparental
IITA-TMS-IBA061640	IITA-TMS-IBA011277	IITA-TMS-IBA011371	biparental
IITA-TMS-IBA061673	IITA-TMS-IBA011371	IITA-TMS-IBA940006	biparental
IITA-TMS-IBA061679	IITA-TMS-IBA011371	IITA-TMS-IBA992987	biparental
IITA-TMS-IBA061744	IITA-TMS-IBA011442	CB-10(80411)	biparental
IITA-TMS-IBA061766	IITA-TMS-IBA011442	IITA-TMS-IBA011368	biparental
IITA-TMS-IBA061856	IITA-TMS-IBA011646	IITA-TMS-IBA961089A	biparental
IITA-TMS-IBA061911	IITA-TMS-IBA011649	IITA-TMS-IBA011371	biparental
IITA-TMS-IBA062021	IITA-TMS-IBA011610	IITA-TMS-IBA940561	biparental
IITA-TMS-IBA062052	IITA-TMS-IBA011115	IITA-TMS-IBA011371	biparental
IITA-TMS-IBA062116	IITA-TMS-IBA9001554	IITA-TMS-IBA011659	biparental
IITA-TMS-IBA062231	IITA-TMS-IBA011442	IITA-TMS-IBA011659	biparental
IITA-TMS-IBA062630	IITA-TMS-IBA972205	CM3306-4	biparental
IITA-TMS-IBA063046	IITA-TMS-IBA961565	TMEB117	biparental
IITA-TMS-IBA070004	IITA-TMS-IBA30555	IITA-TMS-IBA9102319	biparental
IITA-TMS-IBA070045	IITA-TMS-IBA980002	IITA-TMS-IBA974779	biparental
IITA-TMS-IBA070048	IITA-TMS-IBA991702	IITA-TMS-IBA992123	biparental
IITA-TMS-IBA070064	IITA-TMS-IBA8700052	IITA-TMS-IBA010615	biparental
IITA-TMS-IBA070067	IITA-TMS-IBA940561	IITA-TMS-IBA010131	biparental
IITA-TMS-IBA070094	IITA-TMS-IBA010085	IITA-TMS-IBA010131	biparental
IITA-TMS-IBA070126	IITA-TMS-IBA930266		open
IITA-TMS-IBA070134	IITA-TMS-IBA940561		open
IITA-TMS-IBA070258	IITA-TMS-IBA961632		open
IITA-TMS-IBA070299	IITA-TMS-IBA010984		open
IITA-TMS-IBA070337	IITA-TMS-IBA920429		open
IITA-TMS-IBA070374	TMEB480		open
